Function,ComplexName,uniprotID
NCBP1/2-related,CBCAP (cap binding complex-ARS2-PHAX),P52298
NCBP1/2-related,CBCAP (cap binding complex-ARS2-PHAX),Q09161
NCBP1/2-related,CBCAP (cap binding complex-ARS2-PHAX),Q9BXP5
NCBP1/2-related,CBCAP (cap binding complex-ARS2-PHAX),Q9H814
EJC-related,Exon junction complex,O15234
EJC-related,Exon junction complex,P38919
EJC-related,Exon junction complex,P61326
EJC-related,Exon junction complex,Q9Y5S9
EJC-related,Exon junction complex,Q15287
EJC-related,Apoptosis and Splicing Associated Protein (ASAP),Q9UKV3
EJC-related,Apoptosis and Splicing Associated Protein (ASAP),O00422
EJC-related,Pinin-containing Splicing Associated Protein (PSAP),Q9H307
THO/TREX-related,THO complex,Q13769
THO/TREX-related,THO complex,Q6I9Y2
THO/TREX-related,THO complex,Q86W42
THO/TREX-related,THO complex,Q8NI27
THO/TREX-related,THO complex,Q96FV9
THO/TREX-related,THO complex,Q96J01
THO/TREX-related,THO complex,Q86V81
THO/TREX-related,TREX complex,O00148
THO/TREX-related,TREX complex,Q13838
THO/TREX-related,TREX complex,O75152
THO/TREX-related,TREX complex,Q9BY77
THO/TREX-related,TREX complex,P82979
THO/TREX-related,TREX complex,Q96QD9
THO/TREX-related,TREX complex,Q9P127
THO/TREX-related,TREX complex,Q9UBU9
THO/TREX-related,TREX complex,Q9Y3Y2
Exosome-related,Exosome,Q06265
Exosome-related,Exosome,Q13868
Exosome-related,Exosome,Q15024
Exosome-related,Exosome,Q5RKV6
Exosome-related,Exosome,Q96B26
Exosome-related,Exosome,Q9NPD3
Exosome-related,Exosome,Q9NQT4
Exosome-related,Exosome,Q9NQT5
Exosome-related,Exosome,Q9Y2L1
Exosome-related,Exosome,Q9Y3B2
Exosome-related,Exosome,Q01780
Exosome-related,Exosome,Q8TF46
Exosome-related,Exosome,Q99547
Exosome-related,Exosome,P42285
Exosome-related,NEXT complex,Q6NZY4
Exosome-related,NEXT complex,Q9Y580
Exosome-related,NEXT complex,ZC3H18
Exosome-related,PAXT complex,O60293
Exosome-related,PAXT complex,Q86U42
NPC-related,NPC,P35658
NPC-related,NPC,P49790
NPC-related,NPC,Q9BVL2
NPC-related,NPC,O75694
NPC-related,NPC,Q8TEM1
NPC-related,NPC,Q8NFH5
NPC-related,NPC,Q99567
NPC-related,NPC,P52948
NPC-related,NPC,Q5SRE5
NPC-related,NPC,Q9BW27
NPC-related,NPC,Q92621
NPC-related,NPC,P57740
NPC-related,NPC,Q8WUM0
NPC-related,NPC,P55735
NPC-related,NPC,Q7Z3B4
NPC-related,NPC,Q9BTX1
NPC-related,NPC,Q8N1F7
NPC-related,NPC,Q9UKX7
NPC-related,NPC,P37198
NPC-related,NPC,P78406
NPC-related,NPC,Q12769
NPC-related,NPC,Q53GS7
NPC-related,NPC,Q96EE3
NPC-related,NPC,P12270
NPC-related,NPC,Q8NFH4
NPC-related,NPC,Q8NFH3
NPC-related,NPC,P49792
ERH-related,Methylosome / FCP1-associated protein complex,O14744
ERH-related,Methylosome / FCP1-associated protein complex,P30876
ERH-related,Methylosome / FCP1-associated protein complex,P35269
ERH-related,Methylosome / FCP1-associated protein complex,P84090
ERH-related,Methylosome / FCP1-associated protein complex,Q15208
ERH-related,Methylosome / FCP1-associated protein complex,Q9BQA1
ERH-related,Methylosome / FCP1-associated protein complex,Q9Y5B0
ERH-related,Methylosome / FCP1-associated protein complex,Q99873
NELF,NELF complex (Negative elongation factor complex),P18615
NELF,NELF complex (Negative elongation factor complex),Q8IXH7
NELF,NELF complex (Negative elongation factor complex),Q8WX92
NELF,NELF complex (Negative elongation factor complex),Q9H3P2
CTCF-related,CTCF-nucleophosmin-PARP-HIS-KPNA-LMNA-TOP complex,O00505
CTCF-related,CTCF-nucleophosmin-PARP-HIS-KPNA-LMNA-TOP complex,P02545
CTCF-related,CTCF-nucleophosmin-PARP-HIS-KPNA-LMNA-TOP complex,P06748
CTCF-related,CTCF-nucleophosmin-PARP-HIS-KPNA-LMNA-TOP complex,P09874
CTCF-related,CTCF-nucleophosmin-PARP-HIS-KPNA-LMNA-TOP complex,P0C0S5
