"group_name"	"complex_name"	"uniprot_id"
"NCBP1/2-related"	"CBC complex (cap binding complex)"	"P52298"
"NCBP1/2-related"	"CBC complex (cap binding complex)"	"Q09161"
"NCBP1/2-related"	"CRM1-PHAX-CBC complex (cap binding complex)"	"O14980"
"NCBP1/2-related"	"CRM1-PHAX-CBC complex (cap binding complex)"	"P52298"
"NCBP1/2-related"	"CRM1-PHAX-CBC complex (cap binding complex)"	"Q09161"
"NCBP1/2-related"	"CRM1-PHAX-CBC complex (cap binding complex)"	"Q9H814"
"NCBP1/2-related"	"PHAX-CBC complex (cap binding complex)"	"P52298"
"NCBP1/2-related"	"PHAX-CBC complex (cap binding complex)"	"Q09161"
"NCBP1/2-related"	"PHAX-CBC complex (cap binding complex)"	"Q9H814"
"NCBP1/2-related"	"CBCA"	"P52298"
"NCBP1/2-related"	"CBCA"	"Q09161"
"NCBP1/2-related"	"CBCA"	"Q9BXP5"
"NCBP1/2-related"	"CBCAP"	"P52298"
"NCBP1/2-related"	"CBCAP"	"Q09161"
"NCBP1/2-related"	"CBCAP"	"Q9BXP5"
"NCBP1/2-related"	"CBCAP"	"Q9H814"
"EJC-related"	"EIF4A3-MLN51 complex"	"O15234"
"EJC-related"	"EIF4A3-MLN51 complex"	"P38919"
"EJC-related"	"Exon junction complex"	"Q15287"
"EJC-related"	"Exon junction complex"	"Q86V81"
"EJC-related"	"Exon junction complex"	"Q8IYB3"
"EJC-related"	"Exon junction complex"	"Q9BZI7"
"EJC-related"	"Exon junction complex"	"Q9HAU5"
"EJC-related"	"Exon junction complex"	"Q9UBU9"
"EJC-related"	"Exon junction complex"	"Q9Y5S9"
"EJC-related"	"Exon junction complex"	"P38919"
"EJC-related"	"Exon junction complex"	"P61326"
"EJC-related"	"Exon junction complex"	"Q13838"
"EJC-related"	"Exon junction complex (EIF4A3, MLN51, MAGOH, Y14)"	"O15234"
"EJC-related"	"Exon junction complex (EIF4A3, MLN51, MAGOH, Y14)"	"P38919"
"EJC-related"	"Exon junction complex (EIF4A3, MLN51, MAGOH, Y14)"	"P61326"
"EJC-related"	"Exon junction complex (EIF4A3, MLN51, MAGOH, Y14)"	"Q9Y5S9"
"EJC-related"	"Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14)"	"O15234"
"EJC-related"	"Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14)"	"P38919"
"EJC-related"	"Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14)"	"P61326"
"EJC-related"	"Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14)"	"Q0VAK7"
"EJC-related"	"Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14)"	"Q9Y5S9"
"EJC-related"	"Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14, PYM)"	"O15234"
"EJC-related"	"Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14, PYM)"	"P38919"
"EJC-related"	"Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14, PYM)"	"P61326"
"EJC-related"	"Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14, PYM)"	"Q0VAK7"
"EJC-related"	"Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14, PYM)"	"Q9BRP8"
"EJC-related"	"Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14, PYM)"	"Q9Y5S9"
"EJC-related"	"Y14-Magoh complex"	"P61326"
"EJC-related"	"Y14-Magoh complex"	"Q9Y5S9"
"EJC-related"	"Apoptosis and Splicing Associated Protein(ASAP)"	"Q9UKV3"
"EJC-related"	"Apoptosis and Splicing Associated Protein(ASAP)"	"O00422"
"EJC-related"	"Apoptosis and Splicing Associated Protein(ASAP)"	"Q15287"
"EJC-related"	"PSAP"	"Q9H307"
"EJC-related"	"PSAP"	"O00422"
"EJC-related"	"PSAP"	"Q15287"
"THO/TREX-related"	"hTREX84 complex"	"Q13769"
"THO/TREX-related"	"hTREX84 complex"	"Q6I9Y2"
"THO/TREX-related"	"hTREX84 complex"	"Q86W42"
"THO/TREX-related"	"hTREX84 complex"	"Q8NI27"
"THO/TREX-related"	"hTREX84 complex"	"Q96FV9"
"THO/TREX-related"	"hTREX84 complex"	"Q96J01"
"THO/TREX-related"	"THO complex"	"Q13769"
"THO/TREX-related"	"THO complex"	"Q6I9Y2"
"THO/TREX-related"	"THO complex"	"Q86W42"
"THO/TREX-related"	"THO complex"	"Q8NI27"
"THO/TREX-related"	"THO complex"	"Q96FV9"
"THO/TREX-related"	"TREX complex"	"Q13769"
"THO/TREX-related"	"TREX complex"	"Q6I9Y2"
"THO/TREX-related"	"TREX complex"	"Q86W42"
"THO/TREX-related"	"TREX complex"	"Q8NI27"
"THO/TREX-related"	"TREX complex"	"Q96FV9"
"THO/TREX-related"	"TREX complex"	"Q96J01"
"THO/TREX-related"	"TREX complex"	"O00148"
"THO/TREX-related"	"TREX complex"	"O75152"
"THO/TREX-related"	"TREX complex"	"Q9BY77"
"THO/TREX-related"	"TREX complex"	"P82979"
"THO/TREX-related"	"TREX complex"	"Q96QD9"
"THO/TREX-related"	"TREX complex"	"Q9P127"
"THO/TREX-related"	"TREX complex"	"Q96FV9"
"THO/TREX-related"	"TREX complex"	"Q8NI27"
"THO/TREX-related"	"TREX complex"	"Q96J01"
"THO/TREX-related"	"TREX complex"	"Q13769"
"THO/TREX-related"	"TREX complex"	"Q86W42"
"THO/TREX-related"	"TREX complex"	"Q6I9Y2"
"Exosome-related"	"Exosome"	"Q06265"
"Exosome-related"	"Exosome"	"Q13868"
"Exosome-related"	"Exosome"	"Q15024"
"Exosome-related"	"Exosome"	"Q5RKV6"
"Exosome-related"	"Exosome"	"Q96B26"
"Exosome-related"	"Exosome"	"Q9NPD3"
"Exosome-related"	"Exosome"	"Q9NQT4"
"Exosome-related"	"Exosome"	"Q9NQT5"
"Exosome-related"	"Exosome"	"Q9Y2L1"
"Exosome-related"	"Exosome"	"Q9Y3B2"
"Exosome-related"	"Exosome"	"Q01780"
"Exosome-related"	"Exosome"	"Q8TF46"
"Exosome-related"	"Exosome"	"Q99547"
"Exosome-related"	"NEXT complex"	"P42285"
"Exosome-related"	"NEXT complex"	"Q6NZY4"
"Exosome-related"	"NEXT complex"	"Q9Y580"
"Exosome-related"	"MTREX-ZFC3H1 complex"	"P42285"
"Exosome-related"	"MTREX-ZFC3H1 complex"	"O60293"
"Exosome-related"	"PAXT"	"P42285"
"Exosome-related"	"PAXT"	"O60293"
"Exosome-related"	"PAXT"	"Q86U42"
"NPC-related"	"GLE1-NUPL2-NUP155 complex"	"O15504"
"NPC-related"	"GLE1-NUPL2-NUP155 complex"	"O75694"
"NPC-related"	"GLE1-NUPL2-NUP155 complex"	"Q53GS7"
"NPC-related"	"NPC subcomplex (NUP98, NUP107, NUP133, NUP160)"	"P52948"
"NPC-related"	"NPC subcomplex (NUP98, NUP107, NUP133, NUP160)"	"P57740"
"NPC-related"	"NPC subcomplex (NUP98, NUP107, NUP133, NUP160)"	"Q12769"
"NPC-related"	"NPC subcomplex (NUP98, NUP107, NUP133, NUP160)"	"Q8WUM0"
"NPC-related"	"Nup 107-160 subcomplex"	"P52948"
"NPC-related"	"Nup 107-160 subcomplex"	"P55735"
