Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
80_10a	NCBP1_10a	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		2041	10694	0	15805	5583	0	10222	1224	1204	0	20	7.74	21.57	NaN	0.2	916	297027	6939	2.34	712	10.26	25581	4490	3980	17.55	33.74	640	14.25	+	0.38371	0.5886	0.23073	0.36242	
80_10b	NCBP1_10b	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		1967	10776	0	16040	5510	0	10530	944	926	0	18	5.89	16.81	NaN	0.17	718	285864	6877	2.41	768	11.17	24700	4367	3883	17.68	34.48	645	14.77	+	0.3707	0.56207	0.22049	0.33098	
80_10c	NCBP1_10c	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		2143	10475	0	16030	4920	0	11110	976	950	0	26	6.09	19.31	NaN	0.23	728	292290	6509	2.23	751	11.54	23854	3901	3358	16.35	37.51	653	16.74	+	0.35951	0.49842	0.21324	0.31973	
80_10d	NCBP1_10d	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		2236	10459	0	16358	4560	0	11798	885	860	0	25	5.41	18.86	NaN	0.21	671	271003	6291	2.32	639	10.16	22011	3642	3086	16.55	36.78	559	15.35	+	0.40282	0.58972	0.23411	0.35576	
80_12a	NCBP1_12a	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		1895	10886	0	15094	6676	0	8418	1969	1936	0	33	13.04	29	NaN	0.39	1529	320912	7267	2.26	851	11.71	34819	5287	4937	15.18	24.5	785	14.85	+	0.37766	0.559	0.22179	0.33143	
80_12c	NCBP1_12c	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		1839	11021	0	14672	7370	0	7302	2743	2689	0	54	18.7	36.49	NaN	0.74	2134	348273	7561	2.17	906	11.98	42569	5768	5429	13.55	20.12	871	15.1	+	0.37649	0.55905	0.22232	0.33148	
80_12d	NCBP1_12d	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		2039	10701	0	16441	4961	0	11480	1220	1198	0	22	7.42	24.15	NaN	0.19	1000	284459	6566	2.31	680	10.36	24855	4009	3519	16.13	31.76	579	14.44	+	0.34955	0.54118	0.19666	0.30027	
80_14a	NCBP1_14a	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		1932	10824	0	15607	6041	0	9566	1592	1571	0	21	10.2	26.01	NaN	0.22	1133	295363	6774	2.29	930	13.73	28984	4583	4188	15.81	30.79	855	18.66	+	0.36812	0.55279	0.22175	0.34198	
80_14b	NCBP1_14b	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		1929	10844	0	15624	6062	0	9562	1703	1676	0	27	10.9	27.65	NaN	0.28	1151	303259	6931	2.29	920	13.27	29586	4696	4307	15.87	29.63	814	17.33	+	0.38886	0.58949	0.2329	0.36812	
80_14c	NCBP1_14c	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		1973	10769	0	15815	5723	0	10092	1652	1634	0	18	10.45	28.55	NaN	0.18	1120	298130	6629	2.22	917	13.83	28578	4305	3863	15.06	28.82	816	18.95	+	0.37687	0.5631	0.22451	0.35207	
