"fc.raw.file"	"EVD:~Contaminants~\"[1]\""	"EVD:~Pep~Intensity~(\">23.0\")~\"[2]\""	"EVD:~Charge~\"[3]\""	"MS^2*Scans:~TopN~high~\"[4]\""	"MS^2*Scans:~TopN~over~RT~\"[5]\""	"EVD:~ID~rate~over~RT~\"[6]\""	"EVD:~RT~Peak~Width~\"[7]\""	"MS^2*Scans:~Ion~Inj~Time~\"[8]\""	"MS^2*Scans:~Intensity~\"[9]\""	"EVD:~MS^2~Oversampling~\"[10]\""	"EVD:~MS~Cal-Pre~(20.0)~\"[11]\""	"EVD:~MS~Cal-Post~\"[12]\""	"MS^2*Scans:~TopN~ID~over~N~\"[13]\""	"EVD:~Pep~Missing~Values~\"[14]\""	"EVD:~Pep~Count~(\">15000\")~\"[15]\""	"EVD:~Prot~Count~(\">3500\")~\"[16]\""	"Average~Overall~Quality"
"file 001"	0.134499285837865	0.121784210205078	0.969067573830735	0.259365153460147	0.548433320139247	0.596102668605825	0.846677120669056	0.000467551898260707	1	0.869444444444444	0.9774285	0.999366200387724	0.66901660517598	0.0360224331320104	0.0668	0.103714285714286	0.512386834593791
"file 002"	0.157339315984212	0.117129683494568	0.954306950442463	0.274826789838337	0.592478444910864	0.608126518664582	0.865234692881091	0.000463994060876021	1	0.864783047426842	0.971372	0.999998674193495	0.662707448220214	0.0333261432269198	0.0618	0.0974285714285714	0.516332642173315
"file 003"	0.126481999212591	0.0906229019165039	0.91727018820982	0.246508838564126	0.533854245580695	0.613407818725479	0.932005060088552	0.000381861575178998	1	0.829656862745098	0.97039275	0.99870658796583	0.638906863773055	0.0273583549036526	0.0507333333333333	0.0954285714285714	0.504482264876405
"file 004"	0.130383312249646	0.106896162033081	0.928246317792088	0.233180302781877	0.497364379705636	0.621452825462372	0.916482054060946	0.000382445740510565	1	0.853754940711462	0.959601	0.994676213146422	0.68686583617031	0.0256686798964625	0.0476	0.0857142857142857	0.505516797216569
"file 005"	0.378409271584571	0.325465202331543	0.973642737229428	0.28942655145326	0.621892216155257	0.577923029576831	0.844406838417749	0.000367444424030865	1	0.898755656108597	0.97930875	0.996761706960805	0.694947131548631	0.0595340811044003	0.1104	0.111714285714286	0.553934681413087
"file 006"	0.55168841174394	0.490224361419678	0.990784745547907	0.307649558679307	0.659708860485197	0.558936961001582	0.839080726621049	0.000453679339442882	1	0.912727272727273	0.99954178	0.99991839767349	0.689946824885385	0.0836928386540121	0.1552	0.153428571428571	0.587061436887927
"file 007"	0.280988898833222	0.139164924621582	0.909250961101501	0.258706467661691	0.570594840532057	0.607485963716109	0.843322929419469	0.000467246051770863	1	0.917917034421889	0.97154825	0.999765440674363	0.632187038224165	0.0394017831463906	0.0730666666666667	0.103142857142857	0.521688206388358
"file 008"	0.363891824385873	0.182026624679565	0.9569922753918	0.278965749647693	0.623108177708115	0.596713635042423	0.862137520903517	0.000369549150036955	1	0.836964688204358	0.96953625	0.999926258807736	0.654850506458506	0.0451538682772505	0.0837333333333333	0.09	0.534023141374388
"file 009"	0.482794005013405	0.244355201721191	0.992629785543236	0.244147520504047	0.54621968451205	0.567232805526995	0.870604351363721	0.000366032210834553	1	0.879138202837625	0.97262625	0.998896136080113	0.794136508520529	0.063057233247052	0.116933333333333	0.125714285714286	0.556178208508026
"file 010"	0.519362917897184	0.267517566680908	0.947549659282836	0.283800167873908	0.644681083078471	0.566196174949052	0.870768886494375	0.000277213084457586	1	0.886375591793793	0.9705805	0.999991008509934	0.669439665414232	0.0649266609145815	0.1204	0.127714285714286	0.558723836355501
