Protein.IDs	uniprot.genes
A2NJV5;A0A0A0MRZ7;A0A075B6S6;A0A075B6S2;A0A075B6P5;A0A087WW87;P06310;P01615;P01614	IGKV2-29
A0A0B4J1V0;A0A0B4J1V6	IGHV3-15
A0A0C4DH32;A0A0B4J1V1;P0DP04;A0A0B4J1X8;P01766;P01780;P01763;P01762;P01782	IGHV3-20
A0A0C4DH42;P0DP03;P0DP02;A0A0B4J1X5;P01767;P01772;P01768;P01764	IGHV3-66
A0A0B4J1Y9	IGHV3-72
A0A0B4J2F2;P57059;Q9H0K1	SIK1B
P0DP01;A0A0C4DH29;A0A0B4J2H0;P01743;P01742	IGHV1-8
A0A0C4DH31;P23083	IGHV1-18
A0A1B0GUS4;P68036-2;P68036	UBE2L5
A0AV96-2;A0AV96	RBM47
A0FGR8-2;A0FGR8;A0FGR8-4;A0FGR8-5	ESYT2;FAM62B;KIAA1228
A0FGR8-6	ESYT2;FAM62B;KIAA1228
A1KXE4-2;A1KXE4	FAM168B;KIAA0280L;MANI
A1L0T0	ILVBL;AHAS
A1X283	SH3PXD2B;FAD49;KIAA1295;TKS4
A2RRP1-2;A2RRP1	NBAS;NAG
A3KMH1;A3KMH1-3;A3KMH1-2	VWA8;KIAA0564
A3KN83-3;A3KN83-2;A3KN83;A3KN83-4;Q9Y2G9-3;Q9Y2G9	SBNO1;MOP3
A5YKK6;A5YKK6-2;A5YKK6-3;A5YKK6-4	CNOT1;CDC39;KIAA1007;NOT1;AD-005
A6NC97	FAM172BP;FAM172B
A6NFI3	ZNF316
A6NHL2-2;A6NHL2	TUBAL3
A6NHR9;A6NHR9-2;A6NHR9-3	SMCHD1;KIAA0650
A6NIE6	RRN3P2
A6NIK2	LRRC10B
A6NKT7;Q7Z3J3;Q7Z3J3-2;Q05823-2;Q05823	RGPD3;RGP3
A6NN14	ZNF729
H3BPF8;A6NN73	GOLGA8S
A6NP11	ZNF716
