Protein.ID	Gene.name	Group	Experiments where FN	Experiments where TP
O75694;O75694-2	NUP155	NPC-related	NCBP2-LAP, multi-well_NCBP2_20	 
P78406	RAE1	NPC-related	NCBP2-LAP, multi-well_NCBP2_10	 
Q5SRE5;Q5SRE5-2	NUP188	NPC-related	NCBP2-LAP, multi-well_NCBP2_10	 
Q8TEM1;Q8TEM1-2	NUP210	NPC-related	NCBP2-LAP, multi-well_NCBP2_20	 
O43175	PHGDH	no group	NCBP2-LAP, multi-well_NCBP2_20	 
O60264;P28370-2;P28370	SMARCA5	no group	NCBP2-LAP, multi-well_NCBP2_12	 
O60443;O60443-3;O60443-2	DFNA5	no group	NCBP3-LAP, test tubes_NCBP3_10	 
O95235;O95235-2	KIF20A	no group	NCBP3-LAP, test tubes_NCBP3_10	 
O95425-2;O95425-4;O95425-3;O95425	SVIL	no group	NCBP1-LAP, multi-well_NCBP1_14	 
P01718;P01717;A0A075B6K0	IGLV3-16	no group	NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_18	 
P04040	CAT	no group	NCBP2-LAP, multi-well_NCBP2_14; NCBP2-LAP, multi-well_NCBP2_7	 
P04843	RPN1	no group	NCBP3-LAP, test tubes_NCBP3_7; NCBP2-LAP, multi-well_NCBP2_20	 
P04844-2;P04844	RPN2	no group	NCBP1-LAP, multi-well_NCBP1_7	 
P05089-2;P05089;P05089-3	ARG1	no group	NCBP2-LAP, multi-well_NCBP2_7	 
P06576	ATP5B	no group	NCBP2-LAP, multi-well_NCBP2_20	 
P07237	P4HB	no group	NCBP3-LAP, test tubes_NCBP3_18	 
P11387;Q969P6-2;Q969P6	TOP1	no group	NCBP3-LAP, test tubes_NCBP3_10; NCBP2-LAP, multi-well_NCBP2_12	 
P12814;P12814-3;P12814-2;P12814-4;Q08043	ACTN1	no group	NCBP1-LAP, multi-well_NCBP1_14; NCBP2-LAP, multi-well_NCBP2_14	 
P14618;P14618-3;P14618-2;P30613-2;P30613	PKM	no group	NCBP1-LAP, multi-well_NCBP1_20	 
P15880	RPS2	no group	NCBP3-LAP, test tubes_NCBP3_12	 
